event,circuit,team,category,weighted_speed_delta_vs_mercedes_pct,time_weight_seconds,segment_count,segments
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Aston Martin,Slow corners,4.77,27.194810704545095,3,"seg_02, seg_04, seg_07"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Audi,Slow corners,1.629,27.194810704545095,3,"seg_02, seg_04, seg_07"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Cadillac,Slow corners,4.155,27.194810704545095,3,"seg_02, seg_04, seg_07"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Ferrari,Slow corners,-1.983,27.194810704545095,3,"seg_02, seg_04, seg_07"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Haas F1 Team,Slow corners,0.843,27.194810704545095,3,"seg_02, seg_04, seg_07"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,McLaren,Slow corners,-1.424,27.194810704545095,3,"seg_02, seg_04, seg_07"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Mercedes,Slow corners,0.0,27.194810704545095,3,"seg_02, seg_04, seg_07"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Racing Bulls,Slow corners,2.244,27.194810704545095,3,"seg_02, seg_04, seg_07"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Red Bull Racing,Slow corners,-1.317,27.194810704545095,3,"seg_02, seg_04, seg_07"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Williams,Slow corners,0.655,27.194810704545095,3,"seg_02, seg_04, seg_07"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Alpine,Straights,1.05,12.652559633114771,2,"seg_01, seg_06"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Aston Martin,Straights,4.176,12.652559633114771,2,"seg_01, seg_06"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Audi,Straights,0.067,12.652559633114771,2,"seg_01, seg_06"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Cadillac,Straights,1.878,12.652559633114771,2,"seg_01, seg_06"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Ferrari,Straights,0.762,12.652559633114771,2,"seg_01, seg_06"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Haas F1 Team,Straights,0.912,12.652559633114771,2,"seg_01, seg_06"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,McLaren,Straights,1.163,12.652559633114771,2,"seg_01, seg_06"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Mercedes,Straights,0.0,12.652559633114771,2,"seg_01, seg_06"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Racing Bulls,Straights,-0.477,12.652559633114771,2,"seg_01, seg_06"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Red Bull Racing,Straights,-0.243,12.652559633114771,2,"seg_01, seg_06"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Williams,Straights,1.066,12.652559633114771,2,"seg_01, seg_06"
fastf1_2026_belgian_grand_prix,Circuit de Spa-Francorchamps,Alpine,Fast corners,1.572,23.713382977871,3,"seg_08, seg_10, seg_13"
fastf1_2026_belgian_grand_prix,Circuit de Spa-Francorchamps,Aston Martin,Fast corners,3.906,23.713382977871,3,"seg_08, seg_10, seg_13"
fastf1_2026_belgian_grand_prix,Circuit de Spa-Francorchamps,Audi,Fast corners,1.621,23.713382977871,3,"seg_08, seg_10, seg_13"
fastf1_2026_belgian_grand_prix,Circuit de Spa-Francorchamps,Cadillac,Fast corners,4.572,23.713382977871,3,"seg_08, seg_10, seg_13"
fastf1_2026_belgian_grand_prix,Circuit de Spa-Francorchamps,Ferrari,Fast corners,-0.166,23.713382977871,3,"seg_08, seg_10, seg_13"
fastf1_2026_belgian_grand_prix,Circuit de Spa-Francorchamps,Haas F1 Team,Fast corners,2.559,23.713382977871,3,"seg_08, seg_10, seg_13"
fastf1_2026_belgian_grand_prix,Circuit de Spa-Francorchamps,McLaren,Fast corners,0.058,23.713382977871,3,"seg_08, seg_10, seg_13"
fastf1_2026_belgian_grand_prix,Circuit de Spa-Francorchamps,Mercedes,Fast corners,0.0,23.713382977871,3,"seg_08, seg_10, seg_13"
fastf1_2026_belgian_grand_prix,Circuit de Spa-Francorchamps,Racing Bulls,Fast corners,2.204,23.713382977871,3,"seg_08, seg_10, seg_13"
fastf1_2026_belgian_grand_prix,Circuit de Spa-Francorchamps,Red Bull Racing,Fast corners,0.573,23.713382977871,3,"seg_08, seg_10, seg_13"
fastf1_2026_belgian_grand_prix,Circuit de Spa-Francorchamps,Williams,Fast corners,3.35,23.713382977871,3,"seg_08, seg_10, seg_13"
fastf1_2026_belgian_grand_prix,Circuit de Spa-Francorchamps,Alpine,Slow corners,3.604,31.94431264829384,4,"seg_02, seg_04, seg_06, seg_12"
fastf1_2026_belgian_grand_prix,Circuit de Spa-Francorchamps,Aston Martin,Slow corners,3.154,31.94431264829384,4,"seg_02, seg_04, seg_06, seg_12"
fastf1_2026_belgian_grand_prix,Circuit de Spa-Francorchamps,Audi,Slow corners,-0.377,31.94431264829384,4,"seg_02, seg_04, seg_06, seg_12"
fastf1_2026_belgian_grand_prix,Circuit de Spa-Francorchamps,Cadillac,Slow corners,2.772,31.94431264829384,4,"seg_02, seg_04, seg_06, seg_12"
fastf1_2026_belgian_grand_prix,Circuit de Spa-Francorchamps,Ferrari,Slow corners,-0.609,31.94431264829384,4,"seg_02, seg_04, seg_06, seg_12"
